Workload                  	Metric                   	  Count	      %	 AvgChange
437.leslie3d-271B.csv     	l1d_useless_prefetch     	   1371	  14.49	      1.17
437.leslie3d-271B.csv     	l2c_useless_prefetch     	   3587	  37.90	      2.33
437.leslie3d-271B.csv     	llc_useless_prefetch     	   2561	  27.06	      6.99
437.leslie3d-271B.csv     	l1d_useful_prefetch_hit  	   2771	  29.28	      2.26
437.leslie3d-271B.csv     	l2c_useful_prefetch_hit  	   3742	  39.54	      5.03
437.leslie3d-271B.csv     	llc_useful_prefetch_hit  	   3400	  35.93	     16.18
437.leslie3d-273B.csv     	l1d_mshr_pf_hit          	   2939	  32.83	      2.41
437.leslie3d-273B.csv     	l2c_mshr_pf_hit          	     75	   0.84	      1.00
437.leslie3d-273B.csv     	llc_mshr_pf_hit          	     22	   0.25	      1.00
437.leslie3d-273B.csv     	l1d_useless_prefetch     	   1569	  17.53	      1.51
437.leslie3d-273B.csv     	l2c_useless_prefetch     	   3972	  44.37	      2.54
437.leslie3d-273B.csv     	llc_useless_prefetch     	   3296	  36.82	      5.92
437.leslie3d-273B.csv     	l1d_useful_prefetch_hit  	   2872	  32.08	      2.51
437.leslie3d-273B.csv     	l2c_useful_prefetch_hit  	   3696	  41.29	      4.12
437.leslie3d-273B.csv     	llc_useful_prefetch_hit  	   3130	  34.96	     16.51
444.namd-120B.csv         	l1d_mshr_pf_hit          	    104	  21.80	      6.08
444.namd-120B.csv         	l2c_mshr_pf_hit          	     65	  13.63	      2.02
444.namd-120B.csv         	llc_mshr_pf_hit          	     21	   4.40	      1.38
444.namd-120B.csv         	l1d_useless_prefetch     	    115	  24.11	     30.51
444.namd-120B.csv         	l2c_useless_prefetch     	     72	  15.09	      1.75
444.namd-120B.csv         	llc_useless_prefetch     	      0	   0.00	      0.00
444.namd-120B.csv         	l1d_useful_prefetch_hit  	     79	  16.56	      2.30
444.namd-120B.csv         	l2c_useful_prefetch_hit  	     80	  16.77	      3.66
444.namd-120B.csv         	llc_useful_prefetch_hit  	    134	  28.09	      8.28
444.namd-166B.csv         	l1d_mshr_pf_hit          	     88	  27.24	      6.86
444.namd-166B.csv         	l2c_mshr_pf_hit          	     32	   9.91	      3.47
444.namd-166B.csv         	llc_mshr_pf_hit          	      7	   2.17	      1.00
444.namd-166B.csv         	l1d_useless_prefetch     	     79	  24.46	      6.68
444.namd-166B.csv         	l2c_useless_prefetch     	     50	  15.48	      2.26
444.namd-166B.csv         	llc_useless_prefetch     	      0	   0.00	      0.00
444.namd-166B.csv         	l1d_useful_prefetch_hit  	     76	  23.53	      4.36
444.namd-166B.csv         	l2c_useful_prefetch_hit  	     86	  26.63	      4.78
444.namd-166B.csv         	llc_useful_prefetch_hit  	    106	  32.82	      8.39
444.namd-23B.csv          	l1d_mshr_pf_hit          	     83	  20.75	      4.96
444.namd-23B.csv          	l2c_mshr_pf_hit          	     30	   7.50	      1.83
444.namd-23B.csv          	llc_mshr_pf_hit          	     13	   3.25	      1.00
444.namd-23B.csv          	l1d_useless_prefetch     	     97	  24.25	     14.08
444.namd-23B.csv          	l2c_useless_prefetch     	     76	  19.00	      1.46
444.namd-23B.csv          	llc_useless_prefetch     	      0	   0.00	      0.00
444.namd-23B.csv          	l1d_useful_prefetch_hit  	     75	  18.75	      3.39
444.namd-23B.csv          	l2c_useful_prefetch_hit  	     91	  22.75	      3.27
444.namd-23B.csv          	llc_useful_prefetch_hit  	    124	  31.00	      8.40
444.namd-321B.csv         	l1d_mshr_pf_hit          	     78	  21.49	      7.32
444.namd-321B.csv         	l2c_mshr_pf_hit          	     38	  10.47	      4.34
444.namd-321B.csv         	llc_mshr_pf_hit          	      9	   2.48	      1.11
444.namd-321B.csv         	l1d_useless_prefetch     	     75	  20.66	     19.11
444.namd-321B.csv         	l2c_useless_prefetch     	     49	  13.50	      1.96
444.namd-321B.csv         	llc_useless_prefetch     	      0	   0.00	      0.00
444.namd-321B.csv         	l1d_useful_prefetch_hit  	     62	  17.08	      4.26
444.namd-321B.csv         	l2c_useful_prefetch_hit  	     81	  22.31	      4.73
444.namd-321B.csv         	llc_useful_prefetch_hit  	    111	  30.58	      6.11
444.namd-33B.csv          	l1d_mshr_pf_hit          	     75	  19.95	      6.03
444.namd-33B.csv          	l2c_mshr_pf_hit          	     39	  10.37	      2.72
